ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"45.14.36.146","elite","AS208881","BA","\"Formea\" drustvo za trgovinu","50","\"Formea\" drustvo za trgovinu, informaticki inzenjering i konsalting d.o.o. Visoko","5678","socks4","N/A","92","2022-06-30T01:30:57.082Z"
"213.6.144.78","elite","AS12975","PS","Palestine Telecommunications Company","56","Palestine Telecommunications Company","4153","socks4","N/A","5002","2022-06-30T01:30:54.529Z"
"203.76.124.138","elite","AS23688","BD","Link3 Technologies Limited","N/A","Corporate Subscriber","5678","socks4","N/A","5001","2022-06-30T01:30:45.912Z"
"202.70.84.201","elite","AS23752","NP","Nepal Telecommunications Corporation","313","Nepal Telecommunications Corporation","4153","socks4","N/A","1245","2022-06-30T01:30:23.004Z"
"109.224.34.21","elite","AS50710","IQ","Earthlinktelecomunication-Band","94","EarthLink Ltd. Communications&","52015","socks4","N/A","404","2022-06-30T01:30:20.494Z"
"182.160.127.236","elite","AS24323","BD","Aamra Networks Limited","180","Aamra Networks Limited","5678","socks4","N/A","3178","2022-06-30T01:30:14.762Z"
"218.75.69.50","elite","AS4134","CN","Chinanet","258","Hangzhou Jiayuan Netbar","56430","socks4","N/A","5000","2022-06-30T01:30:05.765Z"
"89.216.52.217","elite","AS31042","RS","Serbia Broadband","30","N/A","4153","socks4","N/A","125","2022-06-30T01:29:49.510Z"
"81.91.157.134","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","108","FDI FB I","5678","socks4","N/A","2114","2022-06-30T01:29:48.896Z"
"94.20.21.14","elite","AS29049","AZ","Delta Telecom","89","N/A","4153","socks4","N/A","843","2022-06-30T01:29:40.541Z"
